Tokens,SChinese,English
dota_tooltip_ability_crystal_nova_x,冰霜新星,
dota_tooltip_ability_crystal_nova_x_Description,召唤具有破坏性的冰爆，降低目标区域内的敌人的移动速度。,
dota_tooltip_ability_crystal_nova_x_aoe_radius,范围,
dota_tooltip_ability_crystal_nova_x_movespeed_slow,移动速度降低,
dota_tooltip_ability_crystal_nova_x_attackspeed_slow,攻击速度降低,
dota_tooltip_ability_crystal_nova_x_vision_duration,视野持续时间,
dota_tooltip_ability_crystal_nova_x_vision_radius,视野范围,
dota_tooltip_ability_crystal_nova_x_nova_damage,伤害,
dota_tooltip_ability_counter_helix_x,反击螺旋,
dota_tooltip_ability_counter_helix_x_Description,受到一定次数攻击后，斧王就会做出螺旋反击，对附近所有敌方单位造成纯粹伤害。,
dota_tooltip_ability_counter_helix_x_radius,范围,
dota_tooltip_ability_counter_helix_x_hit_count,所需攻击次数,
dota_tooltip_ability_tiny_toss_x,投掷,
dota_tooltip_ability_tiny_toss_x_Description,投掷的技能描述！（懒得去找了）你们自己看看这对不对吧！,
dota_tooltip_ability_tiny_toss_x_grab_radius,持续事件,
dota_tooltip_ability_tiny_toss_x_bonus_damage_pct30,范围,
dota_tooltip_ability_tiny_toss_x_toss_damage,投掷伤害,
dota_tooltip_ability_tiny_toss_x_bonus_damage_pct,被投掷者额外伤害,
dota_tooltip_ability_crystal_nova_x_duration,持续时间,
dota_tooltip_ability_counter_helix_x_damage,伤害,
dota_tooltip_ability_tiny_toss_x_duration,持续事件,
dota_tooltip_ability_tiny_toss_x_radius,范围,
dota_tooltip_ability_soldier_war_strike,兵伐 · 裂空,
dota_tooltip_ability_soldier_war_strike_Description,被动：每攻击一定次数后，下次攻击造成范围伤害。,
dota_tooltip_ability_soldier_war_strike_attacks_to_proc,触发攻击次数,
dota_tooltip_ability_soldier_war_strike_damage_pct,伤害百分比,
dota_tooltip_ability_soldier_war_strike_cleave_radius,分裂半径,
dota_tooltip_ability_soldier_war_strike_cleave_angle,分裂角度,
,,
CustomMainStat_npc_dota_hero_juggernaut,武道,
Job_npc_dota_hero_juggernaut,兵神道,
CustomMainStat_npc_dota_hero_marci,武道,
Job_npc_dota_hero_marci,兵神道,
UnitNameCn_npc_enemy_zombie_lvl1,一阶·游荡梦魇,
UnitNameCn_npc_enemy_zombie_lvl2,二阶·血肉傀儡,
UnitNameCn_npc_enemy_zombie_lvl3,三阶·禁忌信徒,
UnitNameCn_npc_enemy_zombie_lvl4,四阶·虚空行者,
UnitNameCn_npc_enemy_zombie_lvl5,五阶·噩梦骑士,
UnitNameCn_npc_enemy_zombie_lvl6,六阶·古神眷属,
UnitNameCn_npc_enemy_zombie_lvl7,七阶·混沌衍生物,
UnitNameCn_npc_enemy_zombie_lvl8,八阶·神孽,
UnitNameCn_npc_creep_wave_1,腐化猎犬,
UnitNameCn_npc_creep_wave_2,狂暴僵尸,
UnitNameCn_npc_creep_wave_3,骷髅射手,
UnitNameCn_npc_creep_wave_4,黑暗卫士,
UnitNameCn_npc_creep_wave_5,兵-血腥,
UnitNameCn_npc_creep_wave_6,熔岩傀儡,
UnitNameCn_npc_creep_wave_7,剧毒飞龙,
UnitNameCn_npc_creep_wave_8,虚空行者,
UnitNameCn_npc_creep_wave_9,禁忌信徒,
UnitNameCn_npc_creep_wave_10,远古雷兽,
UnitNameCn_npc_creep_wave_11,深渊骑士,
UnitNameCn_npc_creep_wave_12,堕落神官,
UnitNameCn_npc_creep_wave_13,巨型憎恶,
UnitNameCn_npc_creep_wave_14,混沌元素,
UnitNameCn_npc_creep_wave_15,兵-虚空恐,
UnitNameCn_npc_creep_wave_16,灭世魔龙,
UnitNameCn_npc_creep_wave_17,泰坦巨人,
UnitNameCn_npc_creep_wave_18,虚空领主,
UnitNameCn_npc_creep_wave_19,神之倒影,
UnitNameCn_npc_boss_wave_5,血肉巨像,
UnitNameCn_npc_boss_wave_10,深渊领主,
UnitNameCn_npc_boss_wave_15,堕落神使,
UnitNameCn_npc_boss_wave_20,戏神,
UnitNameCn_npc_dota_home_base,一线希望,
UnitNameCn_npc_cultivation_merchant,一线希望,
